id,title,main_picture,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,source,average_episode_duration,rating,background,studios,statistics,special_ranking
15617,Jinrui wa Suitai Shimashita Specials,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/12/63069.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/12/63069l.jpg'}",2012-09-19,2013-02-20,DVD/BD Extras.,7.21,2891,4261,18715,9403,white,2012-09-21T01:28:37+00:00,2022-01-27T14:32:00+00:00,special,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}, {'id': 42, 'name': 'Seinen'}]",6,"{'year': 2012, 'season': 'summer'}",light_novel,150,pg_13,,"[{'id': 88, 'name': 'AIC ASTA'}]","{'status': {'watching': '541', 'completed': '13591', 'on_hold': '501', 'dropped': '179', 'plan_to_watch': '3904'}, 'num_list_users': 18716}",305
6954,Kara no Kyoukai 8: Shuushou,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/6/78756.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/6/78756l.jpg'}",2011-02-02,2011-02-02,"While walking home, Mikiya Kokutou comes across a familiar sight: Shiki Ryougi standing by a railing amidst the falling snow, just as when he first met her four years ago. While the two talk of their past and shared experiences, Mikiya realizes that something is strange about Shiki; rather, this is not the woman he has come to know, but an entirely different entity that dwells within Shiki's body...

[Written by MAL Rewrite]",7.21,2894,1634,105202,53979,white,2009-08-09T10:27:30+00:00,2022-03-21T22:32:13+00:00,special,finished_airing,"[{'id': 7, 'name': 'Mystery'}]",1,"{'year': 2011, 'season': 'winter'}",light_novel,1984,pg_13,,"[{'id': 43, 'name': 'ufotable'}]","{'status': {'watching': '1887', 'completed': '71693', 'on_hold': '1030', 'dropped': '498', 'plan_to_watch': '30228'}, 'num_list_users': 105336}",306
31754,Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/8/76478.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/8/76478l.jpg'}",2015-12-25,2015-12-25,Unaired episode 13 of Aoharu x Kikanjuu bundled with BD/DVD volume 6.,7.2,2907,3205,33945,17340,white,2015-10-03T07:17:51+00:00,2022-03-20T04:17:33+00:00,special,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 27, 'name': 'Shounen'}]",1,"{'year': 2015, 'season': 'fall'}",manga,1470,pg_13,,"[{'id': 112, 'name': ""Brain's Base""}]","{'status': {'watching': '557', 'completed': '26957', 'on_hold': '276', 'dropped': '219', 'plan_to_watch': '5980'}, 'num_list_users': 33989}",307
10834,Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/7/60855.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/7/60855l.jpg'}",2011-09-21,2012-02-22,"Spin-off of Baka to Test to Shoukanjuu that has been serialized on Famitsu Comic Clear website since 2010.

These specials are included in the Baka to Test Ni! BD/DVD releases.",7.2,2908,3196,34249,13642,white,2011-06-15T09:14:31+00:00,2022-03-17T20:15:42+00:00,special,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 31, 'name': 'Super Power'}]",6,"{'year': 2011, 'season': 'summer'}",light_novel,300,pg_13,,"[{'id': 300, 'name': 'SILVER LINK.'}]","{'status': {'watching': '753', 'completed': '22639', 'on_hold': '549', 'dropped': '423', 'plan_to_watch': '9896'}, 'num_list_users': 34260}",308
15811,Girls & Panzer Specials,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/7/42857.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/7/42857l.jpg'}",2012-12-21,2013-06-21,Mini episodes bundled with Blu-rays and DVDs.,7.2,2923,3201,34019,17888,white,2012-10-07T14:56:53+00:00,2022-03-22T02:21:04+00:00,special,finished_airing,"[{'id': 38, 'name': 'Military'}, {'id': 23, 'name': 'School'}]",6,"{'year': 2012, 'season': 'fall'}",original,735,pg_13,,"[{'id': 60, 'name': 'Actas'}]","{'status': {'watching': '1066', 'completed': '25660', 'on_hold': '833', 'dropped': '404', 'plan_to_watch': '6077'}, 'num_list_users': 34040}",309
10152,Kimi ni Todoke 2nd Season: Kataomoi,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/12/28011.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/12/28011l.jpg'}",2011-01-05,2011-01-05,"The Kimi ni Todoke story so far, from Kurumi's point of view. ",7.2,2928,2225,65753,32899,white,2011-01-04T19:57:27+00:00,2022-03-07T20:57:25+00:00,special,finished_airing,"[{'id': 22, 'name': 'Romance'}, {'id': 25, 'name': 'Shoujo'}]",1,"{'year': 2011, 'season': 'winter'}",manga,1380,pg_13,,"[{'id': 10, 'name': 'Production I.G'}]","{'status': {'watching': '914', 'completed': '50392', 'on_hold': '627', 'dropped': '325', 'plan_to_watch': '13552'}, 'num_list_users': 65810}",310
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/12/82632.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/12/82632l.jpg'}",2001-04-02,2001-04-02,"The tests have come, and Keitaro can only hope to succeed. However, in the final stretch, he fails miserably and daydreams through the test. Assuming that he has failed, he runs away, so the rest of the cast hunts him down on a remote desert island to bring him back.
The Toudai entrance exams have finally come (again) for Keitaro. With all his confidence Keitaro sits for the paper, but ends up falling asleep and dreaming about Narusegawa. Waking up with barely any time to complete the paper, Keitaro thinks he will fail the paper and tries to escape from Hinata Lodge and forget all the memories with it. By a stroke of luck he meets Seta, but ends up in a faraway island with the whole cast trying to look for him.

(Source: ANN)",7.2,2930,2586,50303,30645,white,2005-11-12T06:56:40+00:00,2021-07-21T18:13:22+00:00,special,finished_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 22, 'name': 'Romance'}]",1,"{'year': 2001, 'season': 'spring'}",,2760,pg_13,,"[{'id': 27, 'name': 'Xebec'}]","{'status': {'watching': '412', 'completed': '44159', 'on_hold': '331', 'dropped': '204', 'plan_to_watch': '5216'}, 'num_list_users': 50322}",311
9355,Sekirei: Pure Engagement Episode 0,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/9/25948.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/9/25948l.jpg'}",2010-08-25,2010-08-25,"Episode 0, consisting of two subepisodes: ""Sekirei Shindan"" (鶺鴒診断) and ""Sekirei Yoka"" (鶺鴒余暇), of Sekirei: Pure Engagement included on the first DVD/BD volume.",7.2,2937,2648,48301,24529,white,2010-08-12T14:38:13+00:00,2021-11-23T02:29:59+00:00,special,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 9, 'name': 'Ecchi'}, {'id': 35, 'name': 'Harem'}]",1,"{'year': 2010, 'season': 'summer'}",manga,1680,r+,,"[{'id': 35, 'name': 'Seven Arcs'}]","{'status': {'watching': '889', 'completed': '37729', 'on_hold': '489', 'dropped': '270', 'plan_to_watch': '8948'}, 'num_list_users': 48325}",312
5351,Mobile Suit Gundam 00: Tenshitachi no Kiseki,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/11/54435.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/11/54435l.jpg'}",2008-09-25,2008-09-25,"A recap of the first season, from Setsuna point of view.",7.19,2951,6350,6910,2216,white,2008-10-07T12:56:08+00:00,2022-02-04T23:15:51+00:00,special,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 18, 'name': 'Mecha'}, {'id': 24, 'name': 'Sci-Fi'}]",1,"{'year': 2008, 'season': 'summer'}",,1440,pg_13,,"[{'id': 14, 'name': 'Sunrise'}]","{'status': {'watching': '149', 'completed': '3818', 'on_hold': '115', 'dropped': '174', 'plan_to_watch': '2654'}, 'num_list_users': 6910}",313
19653,Neppuu Kairiku Bushi Road,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/11/56827.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/11/56827l.jpg'}",2013-12-31,2013-12-31,"The story takes place in a time when the world is in the pits of despair after being ravaged by a poison called ""shinobi"" that came to earth via an asteroid. The people run away to the place called ""Kairiku,"" a place that used to be the bottom of the ocean. Here, the people try and protect themselves against the effects of the poison. In such a world, there was a single light of hope. The ""Holy Weapon Giga Road"" and the legendary warrior ""Yagyuu"" are needed in order to counter the effects of the poison. In order to save the world, Ame, a princess of a fallen nation, stands up in order to save the world.

(Source: ANN)",7.19,2953,2686,46822,17364,white,2013-07-24T21:25:04+00:00,2022-03-14T20:04:30+00:00,special,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 18, 'name': 'Mecha'}, {'id': 24, 'name': 'Sci-Fi'}]",1,"{'year': 2013, 'season': 'fall'}",mixed_media,5580,r,,"[{'id': 290, 'name': 'Kinema Citrus'}, {'id': 1109, 'name': 'Orange'}]","{'status': {'watching': '2021', 'completed': '23990', 'on_hold': '627', 'dropped': '443', 'plan_to_watch': '19745'}, 'num_list_users': 46826}",314
