id,title,main_picture,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,broadcast,source,average_episode_duration,rating,background,studios,statistics,airing_ranking
34941,Queen's Blade: Unlimited,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1470/90266.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1470/90266l.jpg'}",2018-07-13,,,6.13,8098.0,5467,9971,793,white,2017-02-18T01:24:41+00:00,2022-03-18T06:37:20+00:00,ova,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 9, 'name': 'Ecchi'}, {'id': 10, 'name': 'Fantasy'}]",0,"{'year': 2018, 'season': 'summer'}",,other,0,r+,,[],"{'status': {'watching': '1793', 'completed': 0, 'on_hold': '604', 'dropped': '431', 'plan_to_watch': '7142'}, 'num_list_users': 9970}",85
50411,Xiao Mo Tou Baolu La!,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1034/119535.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1034/119535l.jpg'}",2022-01-15,,"In an attempt for survival, Yu Renjie, the son of the demon lord, was ordered to enter Hero's Academy which only recruits distinguished and upright disciples. The goal is to obtain a Hero's Certificate which can bring legitimacy to the demon clan. This is extremely dangerous. Once the identity of a demon cultist is exposed, countless righteous knights will kill them on the spot. But on the first day of school, Yu Renjie was shocked to find out that his personal information had been leaked. In order to hide his identity, he had no choice but to put on women's clothing. His dangerous and hilarious campus life is about to unfold!

(Source: Bilibili Comics)",6.11,8198.0,11938,827,125,white,2021-11-21T03:15:19+00:00,2022-02-22T05:36:23+00:00,ona,currently_airing,"[{'id': 4, 'name': 'Comedy'}]",12,"{'year': 2022, 'season': 'winter'}",,web_manga,480,pg_13,,[],"{'status': {'watching': '331', 'completed': 0, 'on_hold': '34', 'dropped': '53', 'plan_to_watch': '409'}, 'num_list_users': 827}",86
50599,Yami Shibai 10,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1760/120105.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1760/120105l.jpg'}",2022-01-10,,Tenth season of Yami Shibai,6.11,8199.0,7198,5039,646,white,2021-12-17T12:16:18+00:00,2022-03-15T05:14:54+00:00,tv,currently_airing,"[{'id': 5, 'name': 'Avant Garde'}, {'id': 14, 'name': 'Horror'}, {'id': 37, 'name': 'Supernatural'}]",0,"{'year': 2022, 'season': 'winter'}","{'day_of_the_week': 'monday', 'start_time': '02:35'}",original,274,pg_13,,"[{'id': 1169, 'name': 'ILCA'}]","{'status': {'watching': '2166', 'completed': 0, 'on_hold': '91', 'dropped': '120', 'plan_to_watch': '2664'}, 'num_list_users': 5041}",87
7505,Knyacki!,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/2/55107.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/2/55107l.jpg'}",1995-04-07,,"Two caterpillars investigate objects on a kitchen counter while searching for food. One of them finds a piece of pasta and is intrigued by the fact that there's a hole in the middle.

They are having fun until a big mean caterpillar arrives. It's time for a major show down...",6.1,8244.0,12057,791,205,white,2009-11-13T22:40:46+00:00,2021-10-17T23:54:54+00:00,tv,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 15, 'name': 'Kids'}]",0,"{'year': 1995, 'season': 'spring'}",,,300,pg,Two episodes are released on a yearly basis.,[],"{'status': {'watching': '234', 'completed': 0, 'on_hold': '58', 'dropped': '173', 'plan_to_watch': '325'}, 'num_list_users': 790}",88
49969,Tribe Nine,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1050/118367.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1050/118367l.jpg'}",2022-01-10,2022-03-28,"Fed up with society, youngsters all around Neo-Tokyo formed tribes to find their place in the world. However, group loyalty among them grew fierce and often led to violence. As a countermeasure, the government implemented the XB Law—stating that the tribe conflict is to be resolved through Extreme Baseball. From players using extendable bats to pitchers wearing special equipment, Extreme Baseball is a futuristic version of the sport with modified rules, less restrictions, and bizarre applications of technology.

When a group of youngsters bullies spineless Haru Shirokane, he is saved by an unexpected pair: Shun Kamiya and Taiga. As it turns out, Shun is a star player of Extreme Baseball who leads the Minato Tribe, the top-ranked team in Minato City. Meanwhile, Taiga aims to defeat Shun in hopes of becoming the strongest in the sport. In a string of spontaneous events that allow Shun to discover their potential, Taiga and Haru are roped into joining the Minato Tribe.

As the tribes across Minato City face a new threat led by the mysterious Oujirou Otori, the Minato Tribe might just need the power of their two new rookies to overcome the clutches of evil.

[Written by MAL Rewrite]",6.01,8688.0,3445,29445,3924,gray,2021-09-30T15:15:08+00:00,2022-03-22T02:33:41+00:00,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 30, 'name': 'Sports'}]",12,"{'year': 2022, 'season': 'winter'}","{'day_of_the_week': 'monday', 'start_time': '22:30'}",mixed_media,1431,r,"Tribe Nine is a part of the Japanese multimedia franchise of the same name, collaborated by Too Kyo Games, Akatsuki Inc., and LIDENFILMS.

The series was released on Blu-ray in a special limited version on April 27, 2022","[{'id': 839, 'name': 'LIDENFILMS'}]","{'status': {'watching': '11209', 'completed': '2', 'on_hold': '675', 'dropped': '2869', 'plan_to_watch': '14695'}, 'num_list_users': 29450}",89
15407,Magical Suite Prism Nana,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/4/75803.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/4/75803l.jpg'}",2015-11-29,,"In a future not too distant from ours, Nanagoo City is a beautiful city in Japan surrounded by mountains and ocean-sides. The sensitive, adolescent girls who live there are each opening up doors to their own, unique possibilities. No one wants to forget the path they take to adulthood.

(Source: ANN)",6.0,8732.0,5705,9017,146,white,2012-09-02T08:09:11+00:00,2020-03-10T21:40:39+00:00,ova,currently_airing,,7,"{'year': 2015, 'season': 'fall'}",,original,1800,,,"[{'id': 44, 'name': 'Shaft'}]","{'status': {'watching': '457', 'completed': 0, 'on_hold': '230', 'dropped': '172', 'plan_to_watch': '8157'}, 'num_list_users': 9016}",90
42295,Fushigi Dagashiya: Zenitendou,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1994/108212.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1994/108212l.jpg'}",2020-09-08,,"Zenitendo is a mysterious candy store that only lucky people can reach. All the candy recommended by Beniko, the owner of the store, is perfectly suited to the buyer's troubles. However, it depends on whether the candy will be used or eaten correctly that it can bring happiness or misfortune.

(Source: MAL News)",5.98,8805.0,10998,1187,128,white,2020-06-23T20:25:14+00:00,2021-05-17T16:23:20+00:00,tv,currently_airing,"[{'id': 15, 'name': 'Kids'}, {'id': 7, 'name': 'Mystery'}]",0,"{'year': 2020, 'season': 'fall'}","{'day_of_the_week': 'tuesday', 'start_time': '18:45'}",novel,600,,,"[{'id': 18, 'name': 'Toei Animation'}]","{'status': {'watching': '241', 'completed': 0, 'on_hold': '132', 'dropped': '151', 'plan_to_watch': '663'}, 'num_list_users': 1187}",91
29643,6HP (Six Hearts Princess),"{'medium': 'https://api-cdn.myanimelist.net/images/anime/13/72448.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/13/72448l.jpg'}",2016-12-30,,,5.94,8992.0,7398,4751,319,white,2015-01-18T14:48:54+00:00,2022-02-02T18:47:59+00:00,special,currently_airing,,0,"{'year': 2016, 'season': 'fall'}",,,1320,,"The first episode of the anime was unfinished at airing time. It aired within an hour-long block, with the first 22 minutes being animation and the rest of the block consisting of documentary of the anime's creation and an apology from director Takashi Murakami. Murakami currently plans to release two more episodes and a finished first episode.",[],"{'status': {'watching': '562', 'completed': 0, 'on_hold': '307', 'dropped': '278', 'plan_to_watch': '3604'}, 'num_list_users': 4751}",92
45560,Orient,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1576/119361.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1576/119361l.jpg'}",2022-01-06,2022-03-24,"Freed from the rule of samurai 150 years ago, the people of Hinomoto live peaceful lives and revere their liberators—demons whose true forms remain elusive—as gods. Fated to mine rocks for the demons to feast on, Musashi knows the grim truth: humanity is enslaved by these otherworldly beings and the samurai are the last bastion fighting for freedom. Hiding his true opinion from his peers and growing distant from his childhood friend Kojirou Kanemaki, Musashi lives in angst until the day of his graduation.

When the fresh graduates arrive at the mine, they are horrified to see the inhumane treatment of miners and the uncanny physical appearance of their overseers. However, Musashi manages to endure thanks to Kojirou's help. As the demon leader wreaks havoc on the quarry, Musashi is saved once more from certain death by the Takeda samurai clan. Recovering from humiliation and yearning for adventure, Musashi embarks on a journey to become a samurai and form his own clan!

[Written by MAL Rewrite]
",5.94,9024.0,2303,61791,10944,white,2020-12-25T16:38:04+00:00,2022-03-22T05:57:48+00:00,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 6, 'name': 'Demons'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 21, 'name': 'Samurai'}, {'id': 27, 'name': 'Shounen'}]",12,"{'year': 2022, 'season': 'winter'}","{'day_of_the_week': 'thursday', 'start_time': '00:00'}",manga,1420,pg_13,"Orient was released on Blu-ray in Japan in three volumes from March 25, 2022 to May 27, 2022.","[{'id': 179, 'name': 'A.C.G.T.'}]","{'status': {'watching': '27915', 'completed': '10', 'on_hold': '1183', 'dropped': '6751', 'plan_to_watch': '25945'}, 'num_list_users': 61804}",93
8336,Hanakappa,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1105/90503.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1105/90503l.jpg'}",2010-03-29,,Story about Kappa with flowers on their heads.,5.93,9069.0,12641,641,111,white,2010-03-07T15:45:47+00:00,2022-02-02T09:18:00+00:00,tv,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 15, 'name': 'Kids'}]",0,"{'year': 2010, 'season': 'spring'}",{'day_of_the_week': 'other'},picture_book,600,pg,,"[{'id': 27, 'name': 'Xebec'}, {'id': 28, 'name': 'OLM'}]","{'status': {'watching': '154', 'completed': 0, 'on_hold': '84', 'dropped': '174', 'plan_to_watch': '228'}, 'num_list_users': 640}",94
35552,Pokemon Daisuki Club,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/4/85685.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/4/85685l.jpg'}",2014-08-21,,Series of musical videos featuring Pokemon.,5.92,9110.0,10499,1453,403,white,2017-05-08T19:48:35+00:00,2021-10-24T17:49:10+00:00,music,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 19, 'name': 'Music'}]",0,"{'year': 2014, 'season': 'summer'}",,game,240,g,,[],"{'status': {'watching': '425', 'completed': 0, 'on_hold': '308', 'dropped': '172', 'plan_to_watch': '548'}, 'num_list_users': 1453}",95
36639,Shadowverse,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/11/88535.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/11/88535l.jpg'}",2015-10-16,,Assorted animated videos for Cygames' Shadowverse digital TCG. Japanese and English versions of these animated features were released on the same day on Cygames' official YouTube channel and at a later date on the Shadowverse's official YouTube channel.,5.88,9272.0,11400,1007,158,white,2017-10-21T08:07:12+00:00,2022-02-27T04:31:20+00:00,ona,currently_airing,"[{'id': 10, 'name': 'Fantasy'}, {'id': 11, 'name': 'Game'}]",0,"{'year': 2015, 'season': 'fall'}",,card_game,60,g,,[],"{'status': {'watching': '215', 'completed': 0, 'on_hold': '60', 'dropped': '155', 'plan_to_watch': '579'}, 'num_list_users': 1009}",96
34566,Boruto: Naruto Next Generations,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/9/84460.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/9/84460l.jpg'}",2017-04-05,,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja.

Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life.

New friends and familiar faces join Boruto as a new story begins in Boruto: Naruto Next Generations.

[Written by MAL Rewrite]",5.87,9290.0,194,730389,356978,white,2016-12-17T07:38:08+00:00,2022-03-22T10:10:38+00:00,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 17, 'name': 'Martial Arts'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",0,"{'year': 2017, 'season': 'spring'}","{'day_of_the_week': 'sunday', 'start_time': '17:30'}",manga,1430,pg_13,"The airing time was Wednesdays 17:55 between April 5, 2017 - April 25, 2018. The airing time was changed to Thursdays 17:25 between May 3, 2018 - September 20, 2018. The airing time is Sundays 17:30 beginning October 7, 2018.","[{'id': 1, 'name': 'Studio Pierrot'}]","{'status': {'watching': '392413', 'completed': '2', 'on_hold': '94574', 'dropped': '158861', 'plan_to_watch': '84539'}, 'num_list_users': 730389}",97
